case_id,domain,type,reason
"BQ0005","客户域","query_single","回答提供了多个同名客户及其会员等级，但未提供具体数据来源或标准数值以验证这些信息的真实性。由于无法确认这些客户记录是否真实存在，且缺少逐题标准数值，无法判定其正确性。"
"BQ0044","客户域","query_cross","答案声称新增客户28人、完成第二次消费3人，但仅列出3条明细，未提供28人的完整数据或计算依据；且未引用具体数据表或字段，无法验证数值准确性。因此证据不足。"
"BQ0045","客户域","query_cross","答案声称基于项目购买客户与有效订单消费事实，但未提供具体数据表或查询依据，无法验证项目客户数、平均消费等数值的准确性。"
"BQ0046","客户域","query_cross","回答声称有91人，但仅列出10条明细，且未提供任何数据源或计算依据，无法验证总数和明细的准确性。"
"BQ0047","客户域","query_cross","答案声称有105名金卡会员未到店，并列出10名客户及消费和最近到店日期，但未提供任何数据源或计算依据，无法验证这些数值和名单的准确性。"
"BQ0086","客户域","analysis","回答声称期间活跃客户为0人，但未提供具体数据来源或计算依据，无法验证其准确性。同时，缺少客户画像分析所需的关键维度（如年龄、性别、消费偏好等），且未引用任何可核实的标准数值。"
"BQ0087","客户域","analysis","回答结构完整，但所有数值均为0，且未提供任何实际数据或引用来源，无法验证其真实性。缺少具体订单数据或统计依据，无法确认新老客消费对比的准确性。"
"BQ0089","客户域","analysis","回答未提供具体客户画像分析数据，仅说明无数据，无法验证目标对齐和事实依据。"
"BQ0121","客户域","risk","答案提供了客户风险巡检的排行，但未提供具体风险提示内容，且无法验证数据准确性，缺少标准数值依据。"
"BQ0122","客户域","risk","答案提供了客户余额排行，但未说明风险巡检的具体标准或与风险提示的关联，且缺少可验证的数值依据，无法确认数据真实性。"
"BQ0124","客户域","risk","回答提供了钻石会员未到店名单及排行，但未提供具体数据来源或计算依据，无法验证inactiveDays和累计消费等数值的准确性。"
"BQ0127","客户域","risk","答案提供了客户风险巡检的排行，但未提供具体计算依据或数据源，无法验证数值准确性。"
