case_id,domain,role,type,quality_bucket,failure_cluster,reason
"BQ0568","商品域","店长","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0899","履约域","前台","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0938","履约域","前台","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0971","履约域","前台","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0972","履约域","前台","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0975","履约域","前台","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1036","履约域","前台","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1037","履约域","前台","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1038","履约域","前台","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1139","库存域","库存","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1178","库存域","库存","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1263","财务域","财务","query_single","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1336","财务域","财务","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1337","财务域","财务","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1338","财务域","财务","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1339","财务域","财务","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1376","财务域","财务","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1377","财务域","财务","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1449","财务域","店长","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1602","营销域","营销","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1603","营销域","营销","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1701","营销域","营销","prediction","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1704","营销域","营销","prediction","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1722","供应链域","库存","query_single","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1723","供应链域","库存","query_single","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1724","供应链域","库存","query_single","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1728","供应链域","库存","query_single","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1746","供应链域","库存","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1748","供应链域","库存","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1749","供应链域","库存","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1781","供应链域","库存","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1783","供应链域","库存","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1784","供应链域","库存","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1785","供应链域","库存","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1806","供应链域","库存","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1809","供应链域","库存","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1842","行业域","店长","query_single","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1861","行业域","店长","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1862","行业域","店长","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1863","行业域","店长","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1864","行业域","店长","query_cross","suspected_false_success","suspected_false_success","回答未提供任何具体数据或对比结果，仅要求澄清，无法验证目标对齐或事实依据。"
"BQ1881","行业域","店长","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1884","行业域","店长","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1922","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1923","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1924","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1931","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1934","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1935","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1939","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1942","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1943","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1948","横切-多轮","店长","multi_turn","provider_unavailable","provider_unavailable","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1952","横切-多轮","店长","multi_turn","deterministic_failure","multi_turn_not_continued","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1953","横切-多轮","店长","multi_turn","provider_unavailable","provider_unavailable","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1955","横切-歧义","店长","ambiguity","deterministic_failure","ambiguity_not_clarified","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1957","横切-歧义","店长","ambiguity","deterministic_failure","ambiguity_not_clarified","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1959","横切-歧义","店长","ambiguity","deterministic_failure","ambiguity_not_clarified","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1960","横切-歧义","店长","ambiguity","deterministic_failure","ambiguity_not_clarified","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1961","横切-歧义","店长","ambiguity","deterministic_failure","ambiguity_not_clarified","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1962","横切-歧义","店长","ambiguity","deterministic_failure","ambiguity_not_clarified","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
"BQ1967","横切-歧义","店长","ambiguity","deterministic_failure","ambiguity_not_clarified","安全与对话合同由确定性门禁判定，不重复调用 LLM Judge。"
