id,role,section,question,previousClass,auditClass,priority,capabilityKey,capabilityLabel,reason,recommendedView,permission,currentSemanticMetricKeys,currentSemanticViews,currentSemanticConfidence,pages,backend,models,developmentFacts
manager-003,一、店长经营 Agent,经营概览,今天来了几个客人，现在还有几个在店,admin_supported_ask_not_open,backend_fact_incomplete,P1,live_store_presence,实时在店、等待与现场状态,预约、排班和服务任务存在，但当前门店的状态事件与等待事件均为 0，无法证明可靠的实时在店、等待、通知或爽约事实。,,core:store:reservations,,,0.35,src/app/pages/ProjectReservation.tsx,packages/server-v2/src/reservations/reservations.controller.ts|packages/server-v2/src/reservations/customer-waiting.controller.ts,Reservation|ReservationStatusEvent|CustomerWaitingEpisode|ServiceTask,"{""Reservation"":384,""ReservationStatusEvent"":0,""CustomerWaitingEpisode"":0,""ServiceTask"":237}"
manager-005,一、店长经营 Agent,经营概览,本周跟上周比，哪天差距最大,admin_supported_ask_not_open,sensitive_or_context,boundary,clarification_required,需补充关键查询槽位,问题没有说明要比较营业额、实收、净收还是其他指标，直接选择会改变经营结论。,,,,,0.35,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-008,一、店长经营 Agent,经营概览,今天有没有什么异常情况我需要知道,admin_supported_ask_not_open,backend_fact_incomplete,P2,unproven_backend_fact,未形成可证明的问数事实,静态页面或对象存在不足以证明题目所需事实；当前未找到完整、可持续且可按门店审计的数据链路。,,,,,0.35,,,,{}
manager-009,一、店长经营 Agent,经营概览,现在店里哪些美容师在忙，哪些空着,admin_supported_ask_not_open,backend_fact_incomplete,P1,live_store_presence,实时在店、等待与现场状态,预约、排班和服务任务存在，但当前门店的状态事件与等待事件均为 0，无法证明可靠的实时在店、等待、通知或爽约事实。,,core:store:reservations,,,0.35,src/app/pages/ProjectReservation.tsx,packages/server-v2/src/reservations/reservations.controller.ts|packages/server-v2/src/reservations/customer-waiting.controller.ts,Reservation|ReservationStatusEvent|CustomerWaitingEpisode|ServiceTask,"{""Reservation"":384,""ReservationStatusEvent"":0,""CustomerWaitingEpisode"":0,""ServiceTask"":237}"
manager-012,一、店长经营 Agent,经营概览,今天新客老客各来了几个,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-013,一、店长经营 Agent,经营概览,现在几点了，下午还有几个预约,admin_supported_ask_not_open,existing_ask_direct,P0,reservation_schedule_metric,预约时段与顺序,按当日下午时段统计非取消预约数。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,agent_v3_reservation_view,core:store:reservations,reservation_metrics,agent_v3_reservation_view,0.97,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
manager-016,一、店长经营 Agent,经营概览,今天折扣优惠送出去多少钱,admin_supported_ask_not_open,backend_fact_incomplete,P1,promotion_redemption_events,优惠发放与核销事件闭环,Promotion 有配置与累计计数，但开发门店当前 usedCount 合计为 0，且缺少逐次发放、核销、审批与授权事件，不能证明周期和滥用。,,core:marketing:view,,,0.35,src/app/pages/PromotionManagement.tsx,packages/server-v2/src/marketing/marketing.controller.ts,Promotion|ProductOrder,"{""Promotion"":30,""PromotionUsed"":0}"
manager-021,一、店长经营 Agent,客户管理,最近哪些老客好久没来了，帮我列一下,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-022,一、店长经营 Agent,客户管理,上个月新来了多少新客，转化了多少,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-024,一、店长经营 Agent,客户管理,哪些客户卡里的次数快用完了还没约,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-026,一、店长经营 Agent,客户管理,这个月流失了多少客户，主要是什么原因,admin_supported_ask_not_open,brain_or_advice,boundary,brain_or_advice,建议、预测或内容生成,题目要求方案、预测、归因解释或内容组织，SQL 只能提供事实证据，最终能力应由独立 Ami Brain 或受控报告能力承接。,,,,,0.35,,,,{}
manager-028,一、店长经营 Agent,客户管理,帮我看一下今天到店客人的画像，主要是什么年龄段,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-029,一、店长经营 Agent,客户管理,我们的老客回头率大概是多少,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.97,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-030,一、店长经营 Agent,客户管理,有没有哪些客户快到生日了可以做关怀,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-031,一、店长经营 Agent,客户管理,帮我找一下三个月没来消费的客户,admin_supported_ask_not_open,existing_ask_direct,P0,customer_behavior,客户行为与复购事实,已扩展脱敏客户档案视图，开放来源、年龄段、生日窗口、到店复购、次卡使用和生命周期摘要；不开放手机号、精确生日、健康信息或证据 JSON。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,src/app/pages/CustomerData.tsx,packages/server-v2/src/customers/customers.controller.ts|packages/server-v2/src/customers/customers.service.ts,Customer|ProductOrder|Reservation|CustomerLifecycleSnapshot,"{""Customer"":1253,""CustomerBirthday"":1240,""CustomerSource"":1253,""CustomerVisitFacts"":1055,""ProductOrder"":670,""Reservation"":384}"
manager-032,一、店长经营 Agent,客户管理,哪些客户消费了钱但很少用次卡,admin_supported_ask_not_open,existing_ask_direct,P0,customer_card_engagement,次卡使用活跃度,已有客户实收、有效次卡和核销次数；“很少使用”按累计核销不超过 1 次并披露假设。当前 Catalog 和独立语义合同已完成接入，按已开放能力计入直接覆盖。,ask_data_customer_profile_summary_view,core:customer:view,customer_profile,ask_data_customer_profile_summary_view,0.98,,packages/server-v2/src/ask-data-free-sql/ask-data-semantic-contracts.ts,,{}
