id,domain,role,type,difficulty,question,expected_target,notes
BQ0001,客户域,店长,query_single,easy,昨天新增了多少个客户,Customer 表,单表字段查询
BQ0002,客户域,店长,query_single,easy,吴晓雯的手机号是多少,Customer 表,单表字段查询
BQ0003,客户域,店长,query_single,easy,吴晓雯的会员等级是什么,Customer 表,单表字段查询
BQ0004,客户域,店长,query_single,easy,一共有多少个钻石会员,Customer 表,单表字段查询
BQ0005,客户域,店长,query_single,easy,何思琪上次到店是最近30天吗，具体哪天,Customer 表,单表字段查询
BQ0006,客户域,店长,query_single,easy,何思琪累计消费了多少钱,Customer 表,单表字段查询
BQ0007,客户域,店长,query_single,easy,查一下何思琪的生日,Customer 表,单表字段查询
BQ0008,客户域,店长,query_single,easy,何思琪是从哪个渠道来的,Customer 表,单表字段查询
BQ0009,客户域,店长,query_single,easy,何思琪的档案里有没有过敏史,Customer 表,单表字段查询
BQ0010,客户域,店长,query_single,easy,最近30天到店的客户有多少,Customer 表,单表字段查询
BQ0011,客户域,店长,query_single,easy,钻石会员一共有多少人,Customer 表,单表字段查询
BQ0012,客户域,店长,query_single,easy,徐梦瑶的标签有哪些,Customer 表,单表字段查询
BQ0013,客户域,店长,query_single,easy,本月新增了多少个客户,Customer 表,单表字段查询
BQ0014,客户域,店长,query_single,easy,吴梦瑶的手机号是多少,Customer 表,单表字段查询
BQ0015,客户域,店长,query_single,easy,吴梦瑶的会员等级是什么,Customer 表,单表字段查询
BQ0016,客户域,店长,query_single,easy,一共有多少个金卡会员,Customer 表,单表字段查询
BQ0017,客户域,店长,query_single,easy,郭若兰上次到店是去年同期吗，具体哪天,Customer 表,单表字段查询
BQ0018,客户域,店长,query_single,easy,郭若兰累计消费了多少钱,Customer 表,单表字段查询
BQ0019,客户域,店长,query_single,easy,查一下郭若兰的生日,Customer 表,单表字段查询
BQ0020,客户域,店长,query_single,easy,郭若兰是从哪个渠道来的,Customer 表,单表字段查询
BQ0021,客户域,店长,query_single,easy,郭若兰的档案里有没有过敏史,Customer 表,单表字段查询
BQ0022,客户域,店长,query_single,easy,去年同期到店的客户有多少,Customer 表,单表字段查询
BQ0023,客户域,店长,query_single,easy,金卡会员一共有多少人,Customer 表,单表字段查询
BQ0024,客户域,店长,query_single,easy,孙静怡的标签有哪些,Customer 表,单表字段查询
BQ0025,客户域,店长,query_single,easy,最近30天新增了多少个客户,Customer 表,单表字段查询
BQ0026,客户域,店长,query_single,easy,何思琪的手机号是多少,Customer 表,单表字段查询
BQ0027,客户域,店长,query_single,easy,何思琪的会员等级是什么,Customer 表,单表字段查询
BQ0028,客户域,店长,query_single,easy,徐雅婷上次到店是五一假期吗，具体哪天,Customer 表,单表字段查询
BQ0029,客户域,店长,query_single,easy,徐雅婷累计消费了多少钱,Customer 表,单表字段查询
BQ0030,客户域,店长,query_single,easy,查一下徐雅婷的生日,Customer 表,单表字段查询
BQ0031,客户域,店长,query_single,easy,徐雅婷是从哪个渠道来的,Customer 表,单表字段查询
BQ0032,客户域,店长,query_single,easy,徐雅婷的档案里有没有过敏史,Customer 表,单表字段查询
BQ0033,客户域,店长,query_single,easy,五一假期到店的客户有多少,Customer 表,单表字段查询
BQ0034,客户域,店长,query_single,easy,李晓雯的标签有哪些,Customer 表,单表字段查询
BQ0035,客户域,店长,query_single,easy,去年同期新增了多少个客户,Customer 表,单表字段查询
BQ0036,客户域,店长,query_single,easy,郭若兰的手机号是多少,Customer 表,单表字段查询
BQ0037,客户域,店长,query_single,easy,郭若兰的会员等级是什么,Customer 表,单表字段查询
BQ0038,客户域,店长,query_single,easy,王思琪上次到店是开业至今吗，具体哪天,Customer 表,单表字段查询
BQ0039,客户域,店长,query_single,easy,王思琪累计消费了多少钱,Customer 表,单表字段查询
BQ0040,客户域,店长,query_single,easy,查一下王思琪的生日,Customer 表,单表字段查询
BQ0041,客户域,店长,query_cross,medium,五一假期到店的客户里有哪些是金卡以上,Customer×CustomerCard×ProductOrder,跨表组合
BQ0042,客户域,店长,query_cross,medium,消费额Top10的客户五一假期买过哪些项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0043,客户域,店长,query_cross,medium,哪些客户的综合养护 20 次卡快到期还没预约,Customer×CustomerCard×ProductOrder,跨表组合
BQ0044,客户域,店长,query_cross,medium,最近三个月新客里有多少人做了第二次消费,Customer×CustomerCard×ProductOrder,跨表组合
BQ0045,客户域,店长,query_cross,medium,买过胶原焕活提拉的客户平均消费多少,Customer×CustomerCard×ProductOrder,跨表组合
BQ0046,客户域,店长,query_cross,medium,有健康档案且标注过敏的客户有哪些,Customer×CustomerCard×ProductOrder,跨表组合
BQ0047,客户域,店长,query_cross,medium,金卡会员里最近三个月没到店的有多少人,Customer×CustomerCard×ProductOrder,跨表组合
BQ0048,客户域,店长,query_cross,medium,哪些客户同时有储值余额和未用完的综合养护 20 次卡,Customer×CustomerCard×ProductOrder,跨表组合
BQ0049,客户域,店长,query_cross,medium,办了综合养护 20 次卡但上周没来的客户名单,Customer×CustomerCard×ProductOrder,跨表组合
BQ0050,客户域,店长,query_cross,medium,张心怡都买过哪些项目和产品,Customer×CustomerCard×ProductOrder,跨表组合
BQ0051,客户域,店长,query_cross,medium,上周复购的客户主要做了什么项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0052,客户域,店长,query_cross,medium,开业至今到店的客户里有哪些是金卡以上,Customer×CustomerCard×ProductOrder,跨表组合
BQ0053,客户域,店长,query_cross,medium,消费额Top10的客户开业至今买过哪些项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0054,客户域,店长,query_cross,medium,哪些客户的敏感修护 8 次卡快到期还没预约,Customer×CustomerCard×ProductOrder,跨表组合
BQ0055,客户域,店长,query_cross,medium,这个季度新客里有多少人做了第二次消费,Customer×CustomerCard×ProductOrder,跨表组合
BQ0056,客户域,店长,query_cross,medium,买过水氧清洁焕肤的客户平均消费多少,Customer×CustomerCard×ProductOrder,跨表组合
BQ0057,客户域,店长,query_cross,medium,钻石会员里这个季度没到店的有多少人,Customer×CustomerCard×ProductOrder,跨表组合
BQ0058,客户域,店长,query_cross,medium,哪些客户同时有储值余额和未用完的敏感修护 8 次卡,Customer×CustomerCard×ProductOrder,跨表组合
BQ0059,客户域,店长,query_cross,medium,办了敏感修护 8 次卡但最近7天没来的客户名单,Customer×CustomerCard×ProductOrder,跨表组合
BQ0060,客户域,店长,query_cross,medium,吴若兰都买过哪些项目和产品,Customer×CustomerCard×ProductOrder,跨表组合
BQ0061,客户域,店长,query_cross,medium,最近7天复购的客户主要做了什么项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0062,客户域,店长,query_cross,medium,春节期间到店的客户里有哪些是金卡以上,Customer×CustomerCard×ProductOrder,跨表组合
BQ0063,客户域,店长,query_cross,medium,消费额Top10的客户春节期间买过哪些项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0064,客户域,店长,query_cross,medium,哪些客户的焕肤清洁 12 次卡快到期还没预约,Customer×CustomerCard×ProductOrder,跨表组合
BQ0065,客户域,店长,query_cross,medium,双十一期间新客里有多少人做了第二次消费,Customer×CustomerCard×ProductOrder,跨表组合
BQ0066,客户域,店长,query_cross,medium,买过背部净透护理的客户平均消费多少,Customer×CustomerCard×ProductOrder,跨表组合
BQ0067,客户域,店长,query_cross,medium,金卡会员里双十一期间没到店的有多少人,Customer×CustomerCard×ProductOrder,跨表组合
BQ0068,客户域,店长,query_cross,medium,哪些客户同时有储值余额和未用完的焕肤清洁 12 次卡,Customer×CustomerCard×ProductOrder,跨表组合
BQ0069,客户域,店长,query_cross,medium,办了焕肤清洁 12 次卡但今年没来的客户名单,Customer×CustomerCard×ProductOrder,跨表组合
BQ0070,客户域,店长,query_cross,medium,罗若兰都买过哪些项目和产品,Customer×CustomerCard×ProductOrder,跨表组合
BQ0071,客户域,店长,query_cross,medium,今年复购的客户主要做了什么项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0072,客户域,店长,query_cross,medium,本周到店的客户里有哪些是金卡以上,Customer×CustomerCard×ProductOrder,跨表组合
BQ0073,客户域,店长,query_cross,medium,消费额Top10的客户本周买过哪些项目,Customer×CustomerCard×ProductOrder,跨表组合
BQ0074,客户域,店长,query_cross,medium,哪些客户的抗衰管理 6 次卡快到期还没预约,Customer×CustomerCard×ProductOrder,跨表组合
BQ0075,客户域,店长,query_cross,medium,最近14天新客里有多少人做了第二次消费,Customer×CustomerCard×ProductOrder,跨表组合
BQ0076,客户域,店长,query_cross,medium,买过敏感肌舒缓修护的客户平均消费多少,Customer×CustomerCard×ProductOrder,跨表组合
BQ0077,客户域,店长,query_cross,medium,钻石会员里最近14天没到店的有多少人,Customer×CustomerCard×ProductOrder,跨表组合
BQ0078,客户域,店长,query_cross,medium,哪些客户同时有储值余额和未用完的抗衰管理 6 次卡,Customer×CustomerCard×ProductOrder,跨表组合
BQ0079,客户域,店长,query_cross,medium,办了抗衰管理 6 次卡但本周末没来的客户名单,Customer×CustomerCard×ProductOrder,跨表组合
