case_id,domain,type,reason
"BQ0001","客户域","query_single","答案未提供具体数值，仅描述定义，无法验证是否准确回答查询。"
"BQ0004","客户域","query_single","答案声称钻石会员80人，但未提供具体数据来源或计算依据，且引用计数为2但未展示引用内容，无法验证事实准确性。"
"BQ0010","客户域","query_single","答案声称实际到店客户为0人，但未提供任何数据来源或计算依据，无法验证其准确性。仅引用'客户到店事实'，缺乏具体数据支撑，因此无法判断是否完整或正确。"
"BQ0044","客户域","query_cross","答案声称新增客户28人、完成第二次消费3人，并列出3条明细，但未提供任何可验证的原始数据或计算依据。无法核对28和3的准确性，也无法确认明细中的客户、日期和订单数是否真实。因此证据不足，无法判定正确性。"
"BQ0045","客户域","query_cross","答案声称基于项目购买客户与有效订单消费事实，但未提供具体数据表或计算过程，无法验证项目客户数、平均消费等数值的准确性。"
"BQ0046","客户域","query_cross","答案声称有91人，但仅列出10条明细，且未提供任何数据源或查询依据，无法验证总数和明细的准确性。"
"BQ0047","客户域","query_cross","答案声称有115名金卡会员未到店，并列出10名客户，但未提供具体查询过程或数据源引用，无法验证数字和排行的准确性。"
"BQ0086","客户域","analysis","回答声称期间活跃客户为0人，但未提供具体数据来源或计算依据，无法验证其准确性。同时，缺少客户画像分析所需的关键维度（如年龄、性别、消费偏好等），且未引用任何可核实的标准数值。"
"BQ0087","客户域","analysis","回答结构完整，但所有数值均为0，且未提供任何实际数据或引用来源，无法验证其真实性。缺少具体订单数据或统计依据，无法确认新老客消费对比的准确性。"
"BQ0089","客户域","analysis","回答未提供具体客户画像分析数据，仅说明无数据，无法验证目标对齐和完整性。"
"BQ0090","客户域","analysis","答案仅给出客单价数值和口径版本，但未提供计算过程或数据来源，无法验证数值正确性，且缺少客户画像分析所需的多维度信息。"
"BQ0121","客户域","risk","回答提供了高价值未到店客户名单及排名，但未提供具体计算过程或数据来源，无法验证累计消费和最近到店日期的准确性。同时，未说明数据截止日期，无法确认inactiveDays的计算是否正确。因此，缺乏足够的证据支持其事实准确性。"
"BQ0122","客户域","risk","答案提供了余额偏高客户数量、阈值和排行，但未提供具体数据来源或计算依据，无法验证其准确性。"
"BQ0123","客户域","risk","答案列出了10名客户及评分，但未提供计算依据或数据来源，无法验证评分正确性。引用仅提及业务定义，缺乏具体标准数值，故证据不足。"
"BQ0124","客户域","risk","回答提供了钻石会员未到店名单及排行，但未提供具体数据来源或计算依据，无法验证inactiveDays和累计消费等数值的准确性。"
"BQ0127","客户域","risk","回答提供了客户风险巡检的消费金额下降客户列表，但未提供具体数据来源或计算过程，无法验证下降比例和排名准确性。"
"BQ0181","客户域","prediction","回答正确识别出多位同名客户并拒绝猜测，符合目标对齐。但无法验证预测批次#84及客户身份候选的真实性，且未提供唯一客户ID或可核对的引用依据，故证据不足。"
"BQ0182","客户域","prediction","答案提供了60天未到店客户总数及前10名明细，但未提供完整名单或验证依据。无法核实总数1185及明细数据的准确性，且缺少预测快照的复用说明。"
"BQ0183","客户域","prediction","答案提供了预测快照的排序和字段，但无法验证批次#84、评分值及客户信息是否真实存在，且未提供可核对的引用依据。"
"BQ0184","客户域","prediction","回答正确识别了目标CustomerPredictionSnapshot并处理了同名歧义，但未提供任何预测值，且无法验证批次#84和rules-v2.1等具体数据依据，缺少标准数值，故证据不足。"
"BQ0185","客户域","prediction","答案提供了预测快照的排名，但无法验证具体数值（如营销响应评分、LTV等）是否与批次#84一致，且未提供可核对的原始数据或查询依据。"
"BQ0241","员工域","query_single","无法验证答案中列出的6名在职美容师及其职级是否与Beautician/Schedule表一致，因为未提供具体数据或引用依据。"
"BQ0242","员工域","query_single","答案仅给出员工姓名和职级，未提供排班、请假等具体数据，且未引用任何数据表或记录，无法验证其准确性。"
"BQ0243","员工域","query_single","回答提供了详细的排班明细，但缺少可验证的标准数值或数据源引用，无法确认其准确性。"
"BQ0244","员工域","query_single","答案提供了排班计数，但未提供具体数据来源或计算过程，无法验证数值准确性。且缺少项目信息，可能不完整。"
"BQ0276","员工域","query_cross","答案声称顾然服务客户数为0，但未提供任何具体数据或计算依据，无法验证其准确性。缺少必要的员工服务客户事实数据，无法判断是否完整或正确。"
"BQ0277","员工域","query_cross","答案列出了6名员工及业绩实收均为0.00，但未提供具体数值依据或计算过程，无法验证数据真实性。引用依据仅提及业务定义，未给出具体数据来源或标准数值，因此无法判断正确性。"
"BQ0278","员工域","query_cross","答案声称所有6位美容师提成均为0.00元，但未提供任何具体数据或计算依据，无法验证其准确性。引用仅提及业务定义和分析，未包含实际数值来源，因此证据不足。"
"BQ0295","员工域","query_cross","答案提供了排行和引用，但未给出具体计算过程或数据来源，无法验证数值准确性。缺少标准答案或可核对的数据表，无法确认业绩实收数值是否正确。"
"BQ0304","员工域","query_cross","答案提供了排名和数值，但未提供具体计算过程或引用数据源，无法验证数值准确性。引用仅提及业务定义，未提供具体数据表或记录，无法确认跨表查询的完整性。"
"BQ0316","员工域","analysis","回答提供了员工排行，但所有指标均为0，且未提供具体数据来源或计算过程，无法验证其准确性。"
"BQ0317","员工域","analysis","回答聚焦人效分析，但缺少人效标准指标（如人均产值、单位时间产出等），且无法验证数据真实性。"
"BQ0320","员工域","analysis","答案声称基于员工职级与提成来源业绩实收聚合，但未提供具体数据来源或计算过程，无法验证排行准确性。缺少各职级员工数量、业绩实收等标准数值，无法确认是否完整覆盖所有职级或正确排序。"
"BQ0336","员工域","analysis","答案声称基于员工职级与提成来源业绩实收聚合事实，但未提供具体数据来源或计算过程，无法验证排行数值的真实性。缺少逐题标准数值，无法确认业绩实收均为0.00的准确性。"
"BQ0352","员工域","risk","答案未提供具体数值或计算依据，无法验证服务次数为0的真实性，且引用依据未明确对应数据来源。"
"BQ0353","员工域","risk","答案列出了6名员工业绩实收为0，但未提供具体数值或排名依据，且引用依据未包含具体数据来源，无法验证准确性。"
"BQ0354","员工域","risk","回答提供了员工业绩实收排行，但未提供具体数据来源或计算过程，且缺少标准数值，无法验证其准确性。"
"BQ0356","员工域","risk","回答提供了员工项目覆盖的详细统计和明细，但未提供具体员工名单、技能认证记录或数据来源，无法验证覆盖状态和人数是否准确。"
"BQ0411","员工域","advice","答案提供了诊断和建议，但缺少具体标准数值（如业绩目标、服务次数基准等）以验证其准确性。无法确认数据依据是否充分，故判定证据不足。"
"BQ0412","员工域","advice","回答结构完整且目标对齐，但所有员工排班工时均为0，且未提供任何排班或服务数据的具体数值依据，无法验证净排班工时、服务次数等关键指标的计算正确性。"
"BQ0414","员工域","advice","回答提供了业绩、服务次数、客户数等数据，但缺少标准数值或权威依据，无法验证数据准确性；且未提供具体可执行的量化目标或跟进任务，仅给出只读建议，故证据不足。"
