case_id,domain,type,reason
"BQ0005","客户域","query_single","回答提供了多个同名客户及其会员等级，但未提供具体数据来源或标准数值，无法验证其准确性。问题要求查询客户表，但回答未明确说明查询依据，且缺少可核对的字段值，因此证据不足。"
"BQ0044","客户域","query_cross","答案声称新增客户28人、完成第二次消费3人，并列出3条明细，但未提供任何可验证的原始数据或计算依据。无法确认这些数字是否准确，也无法核实明细中的客户信息、日期和订单数是否真实。因此，缺乏足够的证据来判定答案的正确性。"
"BQ0045","客户域","query_cross","答案提供了跨表组合的汇总和明细，但缺少具体计算过程和数据来源，无法验证数值准确性。"
"BQ0046","客户域","query_cross","回答声称有91人，但仅列出10条明细，且未提供可验证的数据库记录或查询依据。无法核实总数91的正确性，也无法确认所列客户是否确实满足所有条件。"
"BQ0047","客户域","query_cross","答案声称有105名金卡会员未到店，但未提供具体查询SQL或数据源，无法验证数字准确性。且未展示跨表（Customer×CustomerCard×ProductOrder）的关联逻辑，仅提及会员等级和最近到店，缺少产品订单数据引用。"
"BQ0086","客户域","analysis","回答声称期间活跃客户为0人，但未提供具体数据来源或计算依据，无法验证其准确性。同时，缺少客户画像分析所需的关键维度（如年龄、性别、消费偏好等），且未引用任何可核实的标准数值。"
"BQ0087","客户域","analysis","回答结构完整，但所有数值均为0，且未提供任何实际数据或引用来源，无法验证其真实性。缺少具体订单数据或系统依据，无法确认新老客消费对比的准确性。"
"BQ0089","客户域","analysis","回答未提供具体客户画像分析数据，仅说明无数据，无法验证目标对齐和完整性。"
"BQ0121","客户域","risk","回答提供了高价值未到店客户名单及排名，但未提供具体计算过程或数据源引用，无法验证客户数量、消费金额和未到店天数的准确性。"
"BQ0122","客户域","risk","答案提供了余额偏高客户数量、阈值和排行，但未提供具体数据源或计算依据，无法验证数值准确性。"
"BQ0124","客户域","risk","回答提供了钻石会员未到店名单及排行，但未提供具体数据来源或计算依据，无法验证inactiveDays和累计消费数值的准确性。"
"BQ0127","客户域","risk","答案列出了56名消费下降客户中的前10名，但未提供完整列表，且未提供具体计算过程或数据源验证。无法确认下降比例计算、筛选条件（如至少2笔订单）是否准确，以及是否遗漏其他符合条件客户。"
