id,role,section,question,supportClass,supportLabel,managementSupport,backendSupport,reason,expectedView,evalStatus,failureCategory,candidateViews,selectedViews,totalMs,answerSummary
manager-001,一、店长经营 Agent,经营概览,今天店里情况怎么样，给我来个总结,brain_content_or_advice,策划、诊断或内容生成，适合 Ami Brain,partial,partial,问题要求方案、内容生成、因果诊断或建议，不是只读 SQL 能独立证明的事实。,,not_executed,,,,,
manager-002,一、店长经营 Agent,经营概览,今天营业额到多少了,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,agent_v3_order_summary_view,pass,,agent_v3_order_summary_view,agent_v3_order_summary_view,16247,已查询到 1 条结果，首条为 order_revenue=0。
manager-003,一、店长经营 Agent,经营概览,今天来了几个客人，现在还有几个在店,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-004,一、店长经营 Agent,经营概览,今天和昨天比营业额差多少,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,agent_v3_order_summary_view,pass,,agent_v3_order_summary_view,agent_v3_order_summary_view,17152,今天与昨天相比，营业额差额为0。
manager-005,一、店长经营 Agent,经营概览,本周跟上周比，哪天差距最大,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,partial,unknown,当前问题未命中 Ask 指标合同，需由具体业务模块或 Ami Brain 承接。,,not_executed,,,,,
manager-006,一、店长经营 Agent,经营概览,这个月目标完成率多少了，还差多远,brain_content_or_advice,策划、诊断或内容生成，适合 Ami Brain,partial,partial,问题要求方案、内容生成、因果诊断或建议，不是只读 SQL 能独立证明的事实。,,not_executed,,,,,
manager-007,一、店长经营 Agent,经营概览,今天客单价多少，跟平时比怎么样,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,agent_v3_order_summary_view,pass,,agent_v3_order_summary_view,agent_v3_order_summary_view,23200,今天客单价数据无法判断。
manager-008,一、店长经营 Agent,经营概览,今天有没有什么异常情况我需要知道,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-009,一、店长经营 Agent,经营概览,现在店里哪些美容师在忙，哪些空着,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-010,一、店长经营 Agent,经营概览,今天退款有几笔，金额多少,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,agent_v3_payment_refund_view,evaluation_failed,AiStructuredOutputError,agent_v3_payment_refund_view|agent_v3_order_summary_view,,20003,
manager-011,一、店长经营 Agent,经营概览,这个月跟上个月比收入差多少,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_order_summary_view,expected_view_miss,candidate_selector_miss,agent_v3_daily_settlement_view,agent_v3_daily_settlement_view,19595,本月收入较上月增加29471.62元。
manager-012,一、店长经营 Agent,经营概览,今天新客老客各来了几个,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,,not_executed,,,,,
manager-013,一、店长经营 Agent,经营概览,现在几点了，下午还有几个预约,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-014,一、店长经营 Agent,经营概览,今天哪个项目做得最多,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_project_service_sales_view,expected_view_miss,candidate_selector_miss,agent_v3_reservation_view,agent_v3_reservation_view,17030,当前筛选范围内没有匹配数据。
manager-015,一、店长经营 Agent,经营概览,今天最大的一笔消费是多少,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_order_summary_view,pass,,agent_v3_order_summary_view,agent_v3_order_summary_view,13586,已查询到 1 条结果，首条为 max_order_revenue=-。
manager-016,一、店长经营 Agent,经营概览,今天折扣优惠送出去多少钱,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-017,一、店长经营 Agent,经营概览,最近三天营业额趋势怎么样,ask_query_supported,Ask 明确支持并实测,supported,supported,命中已治理指标和 34 视图，可进入真实 SQL 链路评测。,agent_v3_order_summary_view,pass,,agent_v3_order_summary_view,agent_v3_order_summary_view,17265,已查询到 31 条结果，首条为 order_date=2026-07-04T04:48:02.329Z、order_revenue=476.000000000000000000000000000000。
manager-018,一、店长经营 Agent,经营概览,这周有没有哪天特别差，为什么,brain_content_or_advice,策划、诊断或内容生成，适合 Ami Brain,partial,partial,问题要求方案、内容生成、因果诊断或建议，不是只读 SQL 能独立证明的事实。,,not_executed,,,,,
manager-019,一、店长经营 Agent,经营概览,今天现金收了多少，微信支付宝各多少,ask_query_low_confidence,Ask 低置信候选并实测,partial,supported,属于经营数据查询，但需要低置信度语义模型选择候选或补足指标。,agent_v3_payment_refund_view,pass,,agent_v3_payment_refund_view,agent_v3_payment_refund_view,10950,当前筛选范围内没有匹配数据。
manager-020,一、店长经营 Agent,经营概览,今天储值卡消耗了多少，新充值了多少,ask_readonly_boundary,管理端可操作但 Ask 只读,supported,supported,管理端或后台可能支持该业务操作，但 Ami Ask 第一阶段严格只读，不执行写操作。,agent_v3_stock_movement_view,not_executed,,,,,
manager-021,一、店长经营 Agent,客户管理,最近哪些老客好久没来了，帮我列一下,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台有相关业务数据，但当前 34 个 Ask 视图缺少可直接回答该问题的治理字段或组合口径。,,not_executed,,,,,
manager-022,一、店长经营 Agent,客户管理,上个月新来了多少新客，转化了多少,admin_supported_ask_not_open,管理端/后台已有相邻能力，Ask 未开放,supported,supported,管理端或后台已有相关业务入口，但当前 34 个 Ask 视图未开放该字段或实时状态。,agent_v3_marketing_conversion_view,not_executed,,,,,
