case_id,domain,role,type,quality_bucket,failure_cluster,reason
"BQ0461","商品域","店长","query_single","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0537","商品域","店长","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0568","商品域","店长","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0746","交易域","财务","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0822","交易域","财务","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0899","履约域","前台","query_cross","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0938","履约域","前台","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0971","履约域","前台","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0972","履约域","前台","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ0975","履约域","前台","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1036","履约域","前台","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1037","履约域","前台","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1038","履约域","前台","advice","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1139","库存域","库存","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1178","库存域","库存","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1263","财务域","财务","query_single","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1297","财务域","财务","query_cross","suspected_false_success","suspected_false_success","回答未提供任何数值或计算，无法验证是否与目标公式一致；且未引用任何标准数据，无法判断正确性。"
"BQ1298","财务域","财务","query_cross","suspected_false_success","suspected_false_success","答案仅给出毛利率，未计算经营利润×佣金，且未提供具体数值或引用依据，无法验证目标对齐和事实正确性。"
"BQ1299","财务域","财务","query_cross","suspected_false_success","suspected_false_success","答案仅给出数值，未展示计算过程或引用具体数据来源，无法验证是否基于operation-profit×commission计算，且citationCount为2但未提供实际引用内容。"
"BQ1336","财务域","财务","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1337","财务域","财务","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1338","财务域","财务","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1339","财务域","财务","analysis","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1376","财务域","财务","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
"BQ1377","财务域","财务","risk","deterministic_failure","answer_not_grounded","确定性门禁失败：answer_not_grounded"
