id,status,representative_case_id,similarity,cluster_id,domain,role,type,difficulty,time_semantics,coverage_signature,reason,product_loop_status,product_feature_key,management_entry_status,backend_api_status,data_facts_status,missing_components,question,expected_target,notes
"BQ0001","KEEP","BQ0001","1.0000","C0001","客户域","店长","query_single","easy","yesterday","97e6a656abd275ea","legacy_gate_required","current_release_test","customer_record","present","present","present","","昨天新增了多少个客户","Customer 表","单表字段查询"
"BQ0002","KEEP","BQ0002","1.0000","C0002","客户域","店长","query_single","easy","none","d81ffd9083408ec0","legacy_gate_required","current_release_test","customer_record","present","present","present","","吴晓雯的手机号是多少","Customer 表","单表字段查询"
"BQ0003","KEEP","BQ0003","1.0000","C0003","客户域","店长","query_single","easy","none","d81ffd9083408ec0","legacy_gate_required","current_release_test","customer_record","present","present","present","","吴晓雯的会员等级是什么","Customer 表","单表字段查询"
"BQ0004","KEEP","BQ0004","1.0000","C0004","客户域","店长","query_single","easy","none","d81ffd9083408ec0","legacy_gate_required","current_release_test","customer_record","present","present","present","","一共有多少个钻石会员","Customer 表","单表字段查询"
"BQ0005","KEEP","BQ0005","1.0000","C0005","客户域","店长","query_single","easy","rolling_30d","7b77b6c0b72f98b5","legacy_gate_required","current_release_test","customer_record","present","present","present","","何思琪上次到店是最近30天吗，具体哪天","Customer 表","单表字段查询"
"BQ0006","KEEP","BQ0006","1.0000","C0006","客户域","店长","query_single","easy","none","d81ffd9083408ec0","legacy_gate_required","current_release_test","customer_record","present","present","present","","何思琪累计消费了多少钱","Customer 表","单表字段查询"
"BQ0007","KEEP","BQ0007","1.0000","C0007","客户域","店长","query_single","easy","none","d81ffd9083408ec0","legacy_gate_required","current_release_test","customer_record","present","present","present","","查一下何思琪的生日","Customer 表","单表字段查询"
"BQ0008","KEEP","BQ0008","1.0000","C0008","客户域","店长","query_single","easy","none","d81ffd9083408ec0","legacy_gate_required","current_release_test","customer_record","present","present","present","","何思琪是从哪个渠道来的","Customer 表","单表字段查询"
"BQ0009","KEEP","BQ0009","1.0000","C0009","客户域","店长","query_single","easy","none","7fc97e2c73aeb5db","legacy_gate_required","current_release_test","customer_record","present","present","present","","何思琪的档案里有没有过敏史","Customer 表","单表字段查询"
"BQ0010","KEEP","BQ0010","1.0000","C0010","客户域","店长","query_single","easy","rolling_30d","7b77b6c0b72f98b5","legacy_gate_required","current_release_test","customer_record","present","present","present","","最近30天到店的客户有多少","Customer 表","单表字段查询"
"BQ0011","KEEP","BQ0011","1.0000","C0011","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","钻石会员一共有多少人","Customer 表","单表字段查询"
"BQ0012","KEEP","BQ0012","1.0000","C0012","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","徐梦瑶的标签有哪些","Customer 表","单表字段查询"
"BQ0013","KEEP","BQ0013","1.0000","C0001","客户域","店长","query_single","easy","natural_month","b91538bbcd52e8bf","coverage_representative","current_release_test","customer_record","present","present","present","","本月新增了多少个客户","Customer 表","单表字段查询"
"BQ0014","ROTATE","BQ0002","1.0000","C0002","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","吴梦瑶的手机号是多少","Customer 表","单表字段查询"
"BQ0015","ROTATE","BQ0003","1.0000","C0003","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","吴梦瑶的会员等级是什么","Customer 表","单表字段查询"
"BQ0016","ROTATE","BQ0004","0.8000","C0004","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","一共有多少个金卡会员","Customer 表","单表字段查询"
"BQ0017","ROTATE","BQ0005","0.8421","C0005","客户域","店长","query_single","easy","year_over_year","1fa67f7657621de7","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","郭若兰上次到店是去年同期吗，具体哪天","Customer 表","单表字段查询"
"BQ0018","KEEP","BQ0018","1.0000","C0013","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","郭若兰累计消费了多少钱","Customer 表","单表字段查询"
"BQ0019","KEEP","BQ0019","1.0000","C0014","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","查一下郭若兰的生日","Customer 表","单表字段查询"
"BQ0020","KEEP","BQ0020","1.0000","C0015","客户域","店长","query_single","easy","none","d81ffd9083408ec0","coverage_representative","current_release_test","customer_record","present","present","present","","郭若兰是从哪个渠道来的","Customer 表","单表字段查询"
"BQ0021","ROTATE","BQ0009","1.0000","C0009","客户域","店长","query_single","easy","none","7fc97e2c73aeb5db","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","郭若兰的档案里有没有过敏史","Customer 表","单表字段查询"
"BQ0022","ROTATE","BQ0010","1.0000","C0010","客户域","店长","query_single","easy","year_over_year","1fa67f7657621de7","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","去年同期到店的客户有多少","Customer 表","单表字段查询"
"BQ0023","ROTATE","BQ0011","0.8000","C0011","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","金卡会员一共有多少人","Customer 表","单表字段查询"
"BQ0024","ROTATE","BQ0012","1.0000","C0012","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","孙静怡的标签有哪些","Customer 表","单表字段查询"
"BQ0025","KEEP","BQ0025","1.0000","C0001","客户域","店长","query_single","easy","rolling_30d","7b77b6c0b72f98b5","coverage_representative","current_release_test","customer_record","present","present","present","","最近30天新增了多少个客户","Customer 表","单表字段查询"
"BQ0026","ROTATE","BQ0002","1.0000","C0002","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","何思琪的手机号是多少","Customer 表","单表字段查询"
"BQ0027","ROTATE","BQ0003","1.0000","C0003","客户域","店长","query_single","easy","none","d81ffd9083408ec0","same_metadata_and_near_duplicate_wording_with_noncritical_parameter_variation","current_release_test","customer_record","present","present","present","","何思琪的会员等级是什么","Customer 表","单表字段查询"
