case_id,domain,type,reason
"BQ0001","客户域","query_single","答案未提供具体数值，仅描述定义，无法验证是否准确回答查询。"
"BQ0004","客户域","query_single","答案声称钻石会员80人，但未提供具体数据来源或计算依据，且引用计数为2但未展示引用内容，无法验证事实准确性。"
"BQ0010","客户域","query_single","答案声称实际到店客户为0人，但未提供任何数据来源或计算依据，无法验证其准确性。问题要求查询Customer表，但答案未展示具体查询过程或字段引用，且缺少标准数值，故判定证据不足。"
"BQ0044","客户域","query_cross","答案声称新增客户28人、完成第二次消费3人，并列出3名客户明细，但未提供任何可验证的数据源或计算依据。无法确认这些数字是否准确，也无法核实客户明细是否真实存在。因此，缺乏足够的证据来判定答案的正确性。"
"BQ0045","客户域","query_cross","答案声称基于项目购买客户与有效订单消费事实，但未提供具体数据表或查询依据，无法验证项目客户数、平均消费等数值的正确性。"
"BQ0046","客户域","query_cross","回答声称有91人，但仅列出10条明细，且未提供任何数据源或查询依据，无法验证总数和明细的准确性。"
"BQ0047","客户域","query_cross","答案声称有105名金卡会员未到店，并列出10名客户，但未提供任何数据源或计算依据，无法验证具体数字和排名。缺少对Customer、CustomerCard、ProductOrder表的引用，无法确认跨表查询的准确性。"
"BQ0086","客户域","analysis","回答声称期间活跃客户为0人，但未提供具体数据来源或计算依据，无法验证其准确性。同时，回答未包含客户画像分析所需的关键维度（如年龄、性别、消费偏好等），仅提及会员等级分布，但未给出具体分布数据。因此，证据不足，无法判定回答是否完整或正确。"
"BQ0087","客户域","analysis","回答结构完整，但所有数值均为0，且未提供任何实际数据或引用来源，无法验证其真实性。缺少具体订单数据或统计依据，无法确认新老客消费对比的准确性。"
"BQ0089","客户域","analysis","回答未提供具体客户画像分析数据，仅说明无数据，无法验证事实依据。"
"BQ0090","客户域","analysis","答案仅给出客单价数值和口径版本，但未提供计算过程或数据来源，无法验证数值准确性；且未包含客户画像分析所需的其他维度（如年龄、性别、消费频次等），信息不完整。"
"BQ0121","客户域","risk","回答提供了高价值未到店客户名单及排序，但未提供具体计算过程或数据源验证，无法确认名单的准确性和完整性。"
"BQ0122","客户域","risk","答案提供了余额偏高客户数量、阈值和排行，但未提供具体数据源或计算依据，无法验证305人及阈值的准确性。"
"BQ0123","客户域","risk","答案提供了客户排行和评分，但未提供具体计算依据或数据来源，无法验证评分100的准确性。引用仅提及业务定义，缺乏逐题标准数值，因此证据不足。"
"BQ0124","客户域","risk","回答提供了钻石会员未到店名单及排行，但未提供具体数据来源或计算依据，无法验证inactiveDays和累计消费数值的准确性。"
"BQ0127","客户域","risk","答案列出了56名消费下降客户及排名，但未提供完整名单，且缺少计算依据（如具体订单数据、比较周期定义），无法验证下降比例和排名准确性。"
"BQ0181","客户域","prediction","答案提供了60天未到店客户数量及明细，但未提供计算依据或数据来源，无法验证其准确性。"
"BQ0182","客户域","prediction","答案提供了60天未到店客户数量及明细，但未提供计算依据或数据来源，无法验证其准确性。"
"BQ0183","客户域","prediction","答案提供了预测快照的排序和字段，但无法验证批次#80、评分值及客户信息是否真实存在，且未提供可核对的引用依据。"
"BQ0184","客户域","prediction","回答正确识别了目标CustomerPredictionSnapshot，并因同名客户未唯一确认而拒绝返回预测值，符合预期。但无法验证批次#80、5位同名客户及手机号等具体数据，且未提供预测值，故证据不足。"
"BQ0185","客户域","prediction","答案结构符合预测快照目标，但未提供可验证的批次#80数据或评分依据，无法核实排名和数值准确性。"
"BQ0241","员工域","query_single","无法验证答案中列出的6名在职美容师及其职级是否与员工目录、排班和请假事实一致，因为未提供具体数据源或逐项核对依据。"
"BQ0242","员工域","query_single","答案仅给出员工姓名和职级，未提供排班或请假的具体数据，且未引用任何数据表或记录，无法验证其准确性。"
"BQ0243","员工域","query_single","无法验证排班数据的准确性，缺少标准数值或数据源引用。"
"BQ0244","员工域","query_single","答案提供了员工排班数量，但未提供具体数据来源或计算依据，无法验证数值准确性。且未明确说明排班统计的时间范围或条件，缺少可核实的标准数值。"
"BQ0276","员工域","query_cross","答案声称顾然服务客户数为0，但未提供任何具体数据或计算依据，无法验证其准确性。缺少必要的员工服务客户事实数据，无法判断是否完整或正确。"
"BQ0277","员工域","query_cross","答案提供了排行但所有业绩实收均为0.00，且引用依据未包含具体数值或计算过程，无法验证数据真实性。缺少逐题标准数值，无法判断正确性。"
"BQ0278","员工域","query_cross","答案声称所有6位美容师提成均为0.00元，但未提供任何具体数据或计算依据，无法验证其准确性。引用仅提及业务定义和分析，未包含实际数值来源，因此证据不足。"
"BQ0295","员工域","query_cross","答案提供了排行和引用，但未给出具体计算过程或数据来源，无法验证数值准确性。缺少逐题标准数值，无法确认是否完整覆盖所有员工及业绩实收。引用依据不明确，无法核实。因此证据不足。"
"BQ0304","员工域","query_cross","答案提供了员工业绩排行，但未提供具体计算依据或数据来源，无法验证数值准确性。引用仅提及业务定义，未展示实际数据表或计算过程，因此无法确认是否完整覆盖跨表查询要求。"
"BQ0316","员工域","analysis","答案提供了员工排行，但所有指标均为0，且未提供具体数据来源或计算过程，无法验证其准确性。"
"BQ0317","员工域","analysis","回答结构完整，但缺少具体数据来源和计算依据，无法验证数值准确性。"
"BQ0320","员工域","analysis","答案声称基于员工职级与提成来源业绩实收聚合事实，但未提供具体数据来源或计算过程，无法验证排行数值的正确性。缺少逐题标准数值，无法确认业绩实收均为0.00及员工数量的准确性。"
"BQ0336","员工域","analysis","答案声称基于员工职级与提成来源业绩实收聚合事实，但未提供具体数据来源或计算过程，无法验证排行数值的正确性。缺少逐题标准数值，无法确认业绩实收均为0.00及员工数量的准确性。"
"BQ0352","员工域","risk","答案未提供具体数值或计算依据，仅列出员工姓名和零服务次数，无法验证数据真实性。引用来源未给出具体数据，无法确认是否与问题匹配。"
"BQ0353","员工域","risk","答案列出了6名员工服务客户数均为0，但未提供具体数值依据或数据来源，无法验证是否准确。且未说明为何这些员工属于风险巡检范围，缺少标准数值或对比基准。"
"BQ0354","员工域","risk","回答提供了员工业绩实收排行，但未提供具体数据来源或计算过程，且缺少标准数值，无法验证其准确性。"
"BQ0356","员工域","risk","回答提供了员工风险巡检的覆盖统计和明细，但缺少标准数值或可验证的数据来源，无法确认项目总数、覆盖短板等数据的准确性。"
"BQ0411","员工域","advice","答案提供了业绩变化数据，但服务次数和独立客户数均为0，与业绩数据矛盾，且未提供具体标准数值或数据来源，无法验证事实准确性。"
"BQ0412","员工域","advice","回答结构完整，但所有员工排班工时均为0，且服务次数为0，与正常营业数据不符，无法验证数据真实性。同时，回答未提供具体排班优化建议，仅给出笼统提示，缺乏可操作性和数据支撑。"
